127.0.0.1 - - [01/Nov/2021:23:33:31 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:33:32 +0900] "GET /springKsj/index.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:33:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:33:36 +0900] "GET /springKsj/memForm.jin HTTP/1.1" 500 116033
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:35:04 +0900] "GET /springKsj/memForm.jin HTTP/1.1" 500 10617
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:35:06 +0900] "GET /springKsj/index.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:35:08 +0900] "GET /springKsj/index.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:35:09 +0900] "GET /springKsj/memForm.jin HTTP/1.1" 500 10617
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:35:26 +0900] "GET /springKsj/index.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:35:28 +0900] "GET /springKsj/memForm.jin HTTP/1.1" 500 10617
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:41:31 +0900] "GET /springKsj/memForm.jin HTTP/1.1" 200 12714
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:41:31 +0900] "GET /springKsj/img/img_mandu/ase.gif HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:41:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:42:18 +0900] "GET /springKsj/memForm.jin HTTP/1.1" 200 12713
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:42:18 +0900] "GET /springKsj/img/img_mandu/ase.gif HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:44:35 +0900] "GET /springKsj/memForm.jin HTTP/1.1" 200 12713
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:44:35 +0900] "GET /springKsj/img/img_mandu/ase.gif HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:44:36 +0900] "GET /springKsj/memForm.jin HTTP/1.1" 200 12713
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:44:36 +0900] "GET /springKsj/img/img_mandu/ase.gif HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:44:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:44:43 +0900] "POST /springKsj/memIdCheck.jin HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:45:06 +0900] "GET /springKsj/memForm.jin HTTP/1.1" 200 12712
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:45:06 +0900] "GET /springKsj/img/img_mandu/ase.gif HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:45:11 +0900] "POST /springKsj/memIdCheck.jin HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:48:07 +0900] "POST /springKsj/memIdCheck.jin HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:48:43 +0900] "POST /springKsj/memIdCheck.jin HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:49:06 +0900] "GET /springKsj/memForm.jin HTTP/1.1" 200 12712
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:49:07 +0900] "GET /springKsj/img/img_mandu/ase.gif HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:49:19 +0900] "POST /springKsj/memIdCheck.jin HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:50:36 +0900] "GET /springKsj/memForm.jin HTTP/1.1" 200 12715
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:50:36 +0900] "GET /springKsj/img/img_mandu/ase.gif HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:50:39 +0900] "GET /springKsj/memForm.jin HTTP/1.1" 200 12715
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:50:39 +0900] "GET /springKsj/img/img_mandu/ase.gif HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:50:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:50:42 +0900] "POST /springKsj/memIdCheck.jin HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:51:10 +0900] "GET /springKsj/memForm.jin HTTP/1.1" 200 12715
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:51:10 +0900] "GET /springKsj/img/img_mandu/ase.gif HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:51:20 +0900] "GET /springKsj/memForm.jin HTTP/1.1" 200 12715
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:51:20 +0900] "GET /springKsj/img/img_mandu/ase.gif HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:51:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:51:25 +0900] "POST /springKsj/memIdCheck.jin HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:53:37 +0900] "POST /springKsj/memIdCheck.jin HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:56:20 +0900] "POST /springKsj/memIdCheck.jin HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:23:59:48 +0900] "POST /springKsj/memInsert.jin HTTP/1.1" 500 11670
